post_id,permalink,post_message,type,date_posted,lifetime_unique_video_views,lifetime_unique_30s_views,lifetime_unique_watches_at_95p,lifetime_unique_60s_video_views
102088165248724_111598937630980,https://www.facebook.com/sugboanongsimbahan/posts/111598937630980,"IN CASE YOU MISSED IT | Here are the highlights during the commemoration of the 107th birthday of the late Archbishop Teofilo Camomot at Santa Teresa de Avila Chapel, Valladolid, Carcar City (3 March 2021)  #SugboanongSimbahan #RCACNowOnline #GiftedToGiveCebu",Video,3/3/21 4:00 AM,7193,2030,290,1229
102088165248724_111099104347630,https://www.facebook.com/sugboanongsimbahan/posts/111099104347630,"PALANDONG | The Daily Gospel Reflection   ""Be Merciful like the Father."" Gospel from Luke 6: 36-38 Monday, 2nd Week of Lent March 01, 2021  By Rev. Fr. Zenon Guanzon  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,2/28/21 2:00 PM,290,72,28,46
102088165248724_105729918217882,https://www.facebook.com/sugboanongsimbahan/posts/105729918217882,"PALANDONG | The Daily Gospel Reflection   ""Pagpahulay"" Gospel from Mark 6:30-34 Saturday, 4th Week in Ordinary Time February 6, 2021  By Rev. Fr. Abel Y. Bancog  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,2/5/21 5:30 PM,428,92,39,66
102088165248724_117138023743738,https://www.facebook.com/sugboanongsimbahan/posts/117138023743738,"We invite everyone to watch our Virtual Lenten ""Pasos"" portrayed by the young people from the Vicariate of the Most Holy Rosary, Metro Cebu North District.  The ""Pasos"" or ""Pasos de Cuaresma"" is a Cebuano Catholic tradition which shows images of significant persons and even events during the Passion of our Lord Jesus Christ in a form of a procession.  Despite the restrictions due to the Covid19 Pandemic, may this virtual ""pasos"" help immerse ourselves more into the celebrations of the Holy Week.  CATCH US ON HOLY WEDNESDAY, MARCH 31, 2021, 6:00 PM at the YOUTUBE CHANNEL  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,3/30/21 3:00 AM,308,55,9,11
102088165248724_102952235162317,https://www.facebook.com/sugboanongsimbahan/posts/102952235162317,"CATCH US LIVE | Official launching of the Cebu Archdiocesan website and the 4 official Archdiocesan Social Media platforms on February 2, 2021, at 10:00 AM.   See you, dear brothers and sisters in Christ!   Kindly like and share this Good News to all!   #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Video,1/30/21 10:16 PM,326,51,51,0
102088165248724_565067104453524,https://www.facebook.com/sugboanongsimbahan/videos/565067104453524/,"Aside from Facebook, #SugboanongSimbahan can also be followed via other digital platforms: Twitter, YouTube and Instagram.",Video,3/2/21 2:02 AM,619,127,92,0
102088165248724_876853659545389,https://www.facebook.com/sugboanongsimbahan/videos/876853659545389/,"Cebu Archbishop Jose S. Palma shares his reflections on the importance of showing MERCY and COMPASSION to everyone, especially those in need, as manifested to us by the DIVINE MERCY OF JESUS; otherwise; all our efforts and preparations for the 500YoCCebu Celebrations are meaningless. #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Video,4/10/21 3:00 PM,3702,692,197,483
102088165248724_925317134937739,https://www.facebook.com/sugboanongsimbahan/videos/925317134937739/,"RCAC VLOGS | As we celebrate the 456th Kaplag: The Finding of the Image of Señor Santo Niño de Cebu, Let's remember with thanksgiving the Triduum Celebrations for the Opening of the 500 Years of Christianity in the Archdiocese of Cebu, by our very own Ka-Arats G! Josh Gabriel Acedillo starting from Day 1 - April 11, 2021, until Day 4 - April 14, 2021  For the Day 001 VLOG [will be premiere at 7:00 pm PST] CLICK THE LINK TO WATCH THE FULL VIDEO  https://youtu.be/C75m1fIESos  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,4/28/21 3:58 AM,347,28,5,5
102088165248724_4034081606671613,https://www.facebook.com/sugboanongsimbahan/videos/4034081606671613/,THE HOLY SPIRIT CONTINUES TO BE WITH US | Pentecost Sunday Reflections 2021,Video,5/22/21 3:00 PM,950,201,59,136
102088165248724_886340065270020,https://www.facebook.com/sugboanongsimbahan/videos/886340065270020/,"RCAC VLOGS | Let's remember with thanksgiving the Triduum Celebrations during the Opening of the 500 Years of Christianity in the Archdiocese of Cebu. With our very own Ka-Arats G, Josh Gabriel Acedillo. Journey with him as he joins in the celebrations of 500 years of Christianity in the Philippines from Day 1 - April 11, 2021, until Day 4 - April 14, 2021  For the Day 004 VLOG [will be premiered at 7:00 pm PST] CLICK THE LINK TO WATCH THE FULL VIDEO  https://youtu.be/D6ZURhMf03Y  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON OUR VARIOUS SOCIAL MEDIA PLATFORMS  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/1/21 4:00 AM,530,122,50,50
